Cotacao;Ticker
Engie Brasil Energia SA;EGIE3.SA
Centrais Eletricas Brasileiras SA;ELET3.SA
Centrais Eletricas Brasileiras SA Preference Shares Series B;ELET6.SA
Embraer SA;EMBR3.SA
EDP Energias do Brasil SA;ENBR3.SA
Eneva SA;ENEV3.SA
Energisa SA Brazilian Units;ENGI11.SA
Equatorial Energia SA;EQTL3.SA
Cogna Educacao SA;COGN3.SA
Eucatex SA Industria e Comercio Preference Shares;EUCA4.SA
EVEN Construtora e Incorporadora SA;EVEN3.SA
EZTEC Empreendimentos e Participacoes SA;EZTC3.SA
Companhia de Ferro Ligas da Bah Frbs Preference Shares;FESA4.SA
Fertilizantes Heringer SA;FHER3.SA
Fleury SA;FLRY3.SA
Fras-le SA;FRAS3.SA
Metalfrio Solutions SA;FRIO3.SA
Rio Paranapanema Energia SA Preference Shares;GEPA4.SA
Gafisa SA;GFSA3.SA
Gerdau SA;GGBR3.SA
Gerdau SA Preference Shares;GGBR4.SA
Notre Dame Intermedica Participacoes SA;GNDI3.SA
Metalurgica Gerdau S.A.;GOAU3.SA
Metalurgica Gerdau S.A. Preference Shares;GOAU4.SA
Gol Linhas Aereas Inteligentes SA;GOLL4.SA
Grendene SA;GRND3.SA
General Shopping e Outlets do Brasil SA;GSHP3.SA
Guararapes Confeccoes SA;GUAR3.SA
Hapvida Participacoes e Investimentos SA;HAPV3.SA
Helbor Empreendimentos SA;HBOR3.SA
Cia Hering;HGTX3.SA
Hypera SA;HYPE3.SA
Banco Indusval SA;IDVL3.SA
Iguatemi Empresa de Shopping Centers SA;IGTA3.SA
IRB Brasil Resseguros SA;IRBR3.SA
Itausa SA;ITSA3.SA
Itausa SA Preference Shares;ITSA4.SA
Itau Unibanco Holding SA;ITUB3.SA
Itau Unibanco Holding SA Preference Shares;ITUB4.SA
JBS SA;JBSS3.SA
Joao Fortes Engenharia S.A.;JFEN3.SA
JHSF Participacoes SA;JHSF3.SA
JSL SA;JSLG3.SA
Kepler Weber SA;KEPL3.SA
Klabin SA Brazilian Units;KLBN11.SA
Lojas Americanas SA;LAME3.SA
Lojas Americanas SA Preference Shares;LAME4.SA
Companhia de Locacao das Americas;LCAM3.SA
Mahle Metal Leve SA;LEVE3.SA
Light SA;LIGT3.SA
Linx SA;LINX3.SA
Restoque Comercio e Confecos de Roups SA;LLIS3.SA
Log Commercial Properties E Participacoe;LOGG3.SA
Log-in Logistica Intermodal SA;LOGN3.SA
LPS Brasil - Consultoria de Imoveis SA;LPSB3.SA
Lojas Renner SA;LREN3.SA
M. Dias Branco SA Ind Com de Alimentos;MDIA3.SA
International Meal Company Alimentcao SA;MEAL3.SA
Magazine Luiza SA;MGLU3.SA
Mills Estruturas e Servicos de Engnhr SA;MILS3.SA
Movida Participacoes SA;MOVI3.SA
Marfrig Global Foods SA;MRFG3.SA
MRV Engenharia e Participacoes SA;MRVE3.SA
Multiplan Empreendiment. Imobiliarios SA;MULT3.SA
Iochpe Maxion SA;MYPK3.SA
Natura & Co Holding SA;NTCO3.SA
Odontoprev SA;ODPV3.SA
Ouro Fino Saude Animal Participacoes SA;OFSA3.SA
Omega Geracao SA;OMGE3.SA
Instituto Hermes Pardini SA;PARD3.SA
Companhia Brasileira de Distribuicao;PCAR3.SA
Petroleo Brasileiro SA Petrobras;PETR3.SA
Petroleo Brasileiro SA Petrobras Preference Shares;PETR4.SA
Profarma Distribuidora de Produts Frm SA;PFRM3.SA
Banco Pine SA Preference Shares;PINE4.SA
Paranapanema SA;PMAM3.SA
Marcopolo SA;POMO3.SA
Marcopolo SA Preference Shares;POMO4.SA
Positivo Tecnologia SA;POSI3.SA
Petro Rio SA;PRIO3.SA
Porto Seguro SA;PSSA3.SA
PBG SA;PTBL3.SA
Pettenati SA Industria Textil Preference Shares;PTNT4.SA
Qualicorp Consultoria e Cra de Ses SA;QUAL3.SA
Raia Drogasil SA;RADL3.SA
Rumo SA;RAIL3.SA
Randon SA Implementos e Participacoes;RAPT3.SA
Randon SA Implementos e Participacoes Preference Shares;RAPT4.SA
RNI Negocios Imobiliarios SA;RDNI3.SA
Localiza Rent a Car SA;RENT3.SA
Cosan Logistica SA;RLOG3.SA
Renova Energia SA Brazilian Units;RNEW11.SA
Renova Energia SA;RNEW3.SA
Renova Energia SA Preference Shares;RNEW4.SA
Industrias Romi SA;ROMI3.SA
Rossi Residencial SA;RSID3.SA
Banco Santander Brasil SA Brazilian Units;SANB11.SA
Companhia de Saneamento Parana SANEPAR Brazilian Units;SAPR11.SA
Companhia de Saneamento Parana SANEPAR Preference Shares;SAPR4.SA
Companhia de Saneamento Bsc DEDSP Sbsp;SBSP3.SA
Sao Carlos Empreendimentos e Part. SA;SCAR3.SA
Ser Educacional SA;SEER3.SA
Springs Global Participacoes SA;SGPS3.SA
T4f Entretenimento SA;SHOW3.SA
SLC Agricola S.A.;SLCE3.SA
Smiles Fidelidade SA;SMLS3.SA
Sao Martinho SA;SMTO3.SA
Santos Brasil Participacoes SA;STBP3.SA
Sul America SA Brazilian Units;SULA11.SA
Suzano SA;SUZB3.SA
Transmissora Alianca Energia Eletrica SA Brazilian Units;TAEE11.SA
Tecnisa SA;TCSA3.SA
Technos SA;TECN3.SA
Construtora Tenda SA;TEND3.SA
Terra Santa Agro SA;TESA3.SA
Tegma Gestao Logistica SA;TGMA3.SA
AES Tiete Energia SA Brazilian Units;TIET11.SA
Tim SA;TIMS3.SA
Totvs SA;TOTS3.SA
Trisul SA;TRIS3.SA
CTEEP Cia Transm Energia Eletr Paulista Preference Shares;TRPL4.SA
Tupy SA;TUPY3.SA
UNICASA Industria de Moveis S/A;UCAS3.SA
Ultrapar Participacoes SA;UGPA3.SA
Unipar Participacoes B Pref Shs;UNIP6.SA
Usinas Siderurgicas de Mins Grs SA USMNS;USIM3.SA
Usinas Siderurgicas de Minas Gerais A Pref Shs;USIM5.SA
Vale SA;VALE3.SA
#N/D;VIVT4.SA
Valid Solucoes SA;VLID3.SA
Vulcabras Azaleia SA;VULC3.SA
Via Varejo SA;VVAR3.SA
Weg SA;WEGE3.SA
Wiz Solucoes e Corretagem de Seguros SA;WIZS3.SA
IBOVESPA;IBOV.SA
FI Imobiliario Grand Plaza Shopping;ABCP11.SA
AF Invest FII - Recebiveis Imobiliarios;AFCR11.SA
Autonomy Edificios Corporativos FII;AIEC11.SA
FI Imobiliario - FII Torre Almirante;ALMI11.SA
Alianza Trust Renda Imobiliaria FII;ALZR11.SA
Riza Arctium Real Estate FII;ARCT11.SA
FI Imobiliario Atrio REIT Recebiveis Imobiliarios;ARRI11.SA
Hedge Atrium Shopping Santo Andre FII;ATSA11.SA
FI Imobiliario Barigui Rendimentos Imobiliarios I;BARI11.SA
BB Fundo De Investimento Imobiliario Progressivo;BBFI11B.SA
BB Progressivo II FI Imobiliario FII;BBPO11.SA
BB Renda Corporativa FI Imobiliario FII;BBRC11.SA
FI Imobiliario FII BTG Pactual Fundo de Fundos;BCFF11.SA
Bradesco Carteira Imobiliaria Ativa;BCIA11.SA
Banestes Recebiveis Imobiliarios FII;BCRI11.SA
Inter Titulos Imobiliarios Fundo De Investimento Imobiliario Closed Fund;BICR11.SA
Bluecap Renda Logistica FII - FII;BLCP11.SA
Banrisul Novas Fronteiras FII;BNFS11.SA
FII - FII Brasil Plural Absoluto Fundo de Fundos;BPFF11.SA
FI Imobiliario BTG Pactual Shoppings Closed Fund;BPML11.SA
Bresco Logistica Fundo de Investimento Imobiliaro ETF;BRCO11.SA
FII BTG Pactual Corporate Office Fund;BRCR11.SA
Brazil Real Estate Victory Fund I Fundo de Investimento Imobiliario Closed Fund;BREV11.SA
FI Imobiliario BTG Pactual Credito Imobiliario;BTCR11.SA
BTG Pactual Logistica FI Imobiliario;BTLG11.SA
Brazil Realty FI Imobiliario;BZLI11.SA
Brazilian Graveyard and Death Care Services FII;CARE11.SA
Castello Branco Office Park FI Imobiliario FII;CBOP11.SA
FI Imobiliario - Ceo Cyrela Commercial Properties;CEOC11.SA
Cidade Jardim Continental Tower Fdo Inv Imob Cf;CJCT11.SA
FI Imobiliario - FII CENESP;CNES11.SA
Capitania Reit FOF - FI Imobiliario;CPFF11.SA
Capitania Securities II Fundo de Investimento Imobiliario Closed Fund;CPTS11.SA
Caixa Rio Bravo FF de Investimento Imobiliario II;CRFF11.SA
FI Imobiliario Centro Textil Internacional;CTXT11.SA
FI Imobiliario - VBI CRI;CVBI11.SA
FII CX CEDAECI ER MB;CXCE11B.SA
Caixa Rio Bravo FF de Investimento Imobiliario;CXRI11.SA
FI Imobiliario Caixa Trx Logistica Renda;CXTL11.SA
MAC Fundo de Investimento Imobiliario;DMAC11.SA
FII MTGESTAOCI MB;DRIT11B.SA
FII OURINVESCI ER MB;EDFO11B.SA
FI Imobiliario - FII Edificio Galeria;EDGA11.SA
FII EUROPAR CI ER;EURO11.SA
FI Imobiliario Anhanguera Educacional;FAED11.SA
FII ALMIRANTCI MB;FAMB11B.SA
Fundo de Investimento Imobiliario Athena I;FATN11.SA
FI Imobiliario Campus Faria Lima;FCFL11.SA
FI Imobiliario-FII BTG Pactual Fundo de CRI;FEXC11.SA
FII General Shopping Ativo e Renda - FII;FIGS11.SA
FII Industrial do Brasil;FIIB11.SA
FII RB CAP ICI ER MB;FIIP11B.SA
FII Vida Nova;FIVN11.SA
FI Imobiliario Continental Square Faria Lima;FLMA11.SA
FI Imobiliario FII Floripa Shopping;FLRP11.SA
FII Memorial Office;FMOF11.SA
FI Imobiliario Projeto Agua Branca;FPAB11.SA
FI Imobiliario Via Parque Shopping-FII;FVPQ11.SA
FISET Fl Ref Pref Shs;FSRF11.SA
Galapagos Fundo de Fundos FII FI Imobiliario;GCFF11.SA
GGR Covepi Renda FII;GGRC11.SA
CSHG GR;GRLV11.SA
General Shopping e Outlets do Brasil FII;GSFI11.SA
Fundo Investimento Imobiliario Green Towers;GTWR11.SA
Habitat II-Fundo de Investimento Imobiliario;HABT11.SA
FI Imobiliario Multi Renda Urbana;HBRH11.SA
FII Hospital Da Crianca;HCRI11.SA
Hectare Ce Fdo Inv Imob;HCTR11.SA
Hedge Top FOF II 3 FI Imobiliario;HFOF11.SA
Hedge Brasil Shopping FI Imobiliario;HGBS11.SA
CSHG Recebiveis Imobiliarios FII;HGCR11.SA
CSHG Imobiliario FOF FII;HGFF11.SA
Fundo Investimento Imobiliario CSHG Logi;HGLG11.SA
CSHG Prime Offices FII - FII;HGPO11.SA
CSHG Real Estate FI Imobiliario-FII;HGRE11.SA
CSHG Renda Urbana-FI Imobiliario-FII;HGRU11.SA
HEDGE LOG STICA FUNDO DE INVESTIMENTO IMOBILI RIO;HLOG11.SA
Hedge Shopping Praca da Moca FI Imobiliario;HMOC11.SA
Fundo de Investimento imobiliario Housi;HOSI11.SA
Hedge Shopping Parque Dom Pedro FII Closed Fund;HPDP11.SA
HSI Malls Fundo de Investimento Imobiliario;HSML11.SA
FI Imobiliario - FII Hotel Maxinvest;HTMX11.SA
FII Hospital Unimed Sul Capixaba;HUSC11.SA
FII FOF Integral Brei;IBFF11.SA
IFI-E Inter Fundo de Investimento Imobiliario;IFIE11.SA
FI Imobiliario Iridium Recebiveis Imobiliarios;IRDM11.SA
JPP Allocation Mogno FI Imobiliario;JPPA11.SA
FI Imobiliario-FII Jardim Sul;JRDM11.SA
JS Real Estate Multigestao FII;JSRE11.SA
Fundo de FI Imobiliario Kinea FII;KFOF11.SA
Kinea Rendimentos Imobiliarios FII;KNCR11.SA
Kinea High Yield CRI FI Imobiliario-FII;KNHY11.SA
Kinea Indices de Precos FII;KNIP11.SA
Kinea II Real Estate Equity FII;KNRE11.SA
Kinea Renda Imobiliaria FII;KNRI11.SA
Legatus Shoppings FI Imobiliario FII;LASC11.SA
LOGCP Inter Fundo de Investimento Imobiliario Closed Fund;LGCP11.SA
Luggo Fundo de Investimento Imobiliario;LUGG11.SA
Fundo de Investimento Imobiliario - VBI Logistico;LVBI11.SA
Malls Brasil Plural FI Imobiliario;MALL11.SA
FI Imobiliario FII Max Retail;MAXR11.SA
FII Mercantil do Brasil;MBRF11.SA
FII Maua Capital Recebiveis Imobiliarios FII;MCCI11.SA
Merito Fundos De Acoes Imobiliarias FII Closed Fund;MFAI11.SA
Merito Desenvolvimento Imobiliario I FII;MFII11.SA
FII Mogno Certificados de Receb Imob High Grade;MGCR11.SA
FI Imobiliario Mogno Fundo de Fundos;MGFF11.SA
Fundo de Investimento Imobiliario Mogno Hoteis;MGHT11.SA
More Real Estate FOF FII FI Imobiliario;MORE11.SA
Maxi Renda Fundo de Investimento Imobiliario - FII;MXRF11.SA
FII NCH Brasil Recebiveis Imobiliarios;NCHB11.SA
Brasil Plural II - FII;NEWL11.SA
Renda de Escritors Fndo de Invto ImoFII;NEWU11.SA
FII Hospital Nossa Senhora de Lourdes;NSLU11.SA
FI Imobiliario Novo Horizonte;NVHO11.SA
Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund;NVIF11B.SA
Fundo de Investimento Imobiliario The One;ONEF11.SA
FI Imobiliario - Ourinvest Fundo de Fundos;OUCY11.SA
FI Imobiliario - Ourinvest Fundo de Fundos;OUFF11.SA
Ourinvest JPP FI Imobiliario;OUJP11.SA
Fundo de Investimento Imobiliario Ourinvest Logistica Closed Fund;OULG11.SA
Fundo de Investimento Imobiliario Panamby;PABY11.SA
Patria Edificios Corporativos FI Imobiliario-FII;PATC11.SA
Patria Logistica Fundo de Investimento Imobiliario;PATL11.SA
Plural Recebiveis Imobiliarios FII;PLCR11.SA
Polo FII Recebiveis Imobiliarios I;PLRI11.SA
Polo FII Recebiveis Imobiliarios II;PORD11.SA
Parque Anhanguera FII;PQAG11.SA
FII - FII Parque Dom Pedro Shopping Center;PQDP11.SA
FI Imobiliario Presidente Vargas;PRSV11.SA
FI Imobiliario VBI Prime Properties;PVBI11.SA
Quasar Agro - Fundo de Investimento Imobiliario;QAGR11.SA
Quata Monetai FOF - FII;QMFF11.SA
JHSF Rio Bravo Fazenda Boa Vista Capital Prot FII;RBBV11.SA
Aragon - Fundo de Investimento Imobiliario;RBCO11.SA
RB Capital Desenvolvimento Residencial II FII;RBDS11.SA
Rio Bravo Renda Educacional-FII;RBED11.SA
Rio Bravo IFIX Fundo de FII;RBFF11.SA
RB Capital General Shopping Sulacap FII;RBGS11.SA
Rio Bravo Credito Imobiliario IV FI Imobiliario FII;RBIV11.SA
RB Capital Renda II FI Imobiliario;RBRD11.SA
FI Imobiliario RBR Alpha Fundo de Fundos;RBRF11.SA
Rbr Log Fundo de Investimento Imobiliario;RBRL11.SA
FI Imobiliario RBR Properties - FII;RBRP11.SA
FI Imobiliario RBR Rendimento High Grade;RBRR11.SA
Fdo Inv Imob Rbr Private Credito Imob Cef;RBRY11.SA
FII Rio Bravo Renda Varejo-FII;RBVA11.SA
Rio Bravo Credito Imobiliario II FII;RBVO11.SA
FI Imobiliario Rio Bravo Renda Corporativa;RCRB11.SA
BB Renda Papeis imobiliarios II FII;RDPD11.SA
Fundo de Investimentos Imobiliarios Rec Recebiveis Closed Fund;RECR11.SA
Fii Rec Renda Imobiliaria Closed Fund;RECT11.SA
Fii Rb Capital I Fundo de Fundos;RFOF11.SA
BB Renda de Papeis Imobiliarios FI imobiliario FII;RNDP11.SA
FII Imobiliario Rio Negro;RNGO11.SA
Vbi Reits Fof - Fundo de Investimento Imobiliario;RVBI11.SA
Fundo de Investimento Imobiliario Riza Terrax Closed End Fund;RZTR11.SA
Santander Papeis Imobiliarios CDI FII;SADI11.SA
Santander Renda de Alugueis FII;SARE11.SA
SCP Fundo Investimento Imobiliario;SCPF11.SA
FII SDI Rio Bravo Renda Logistica;SDIL11.SA
FII Shopping Patio Higienopolis;SHPH11.SA
SP Downtown Fundo Investimento Imobiliario - FII;SPTW11.SA
SP Downtown Fundo Investimento Imobiliario - FII;SPTW11.SA
Tellus Properties Fundo de Investimento Imobiliario Closed Fund;TEPP11.SA
FII TG Ativo Real;TGAR11.SA
FI imobiliario - FII Cyrela Thera Corporate;THRA11.SA
Tordesilhas EI Fundo de Investimento Imobiliario Closed Fund;TORD11.SA
FI Imobiliario - FII Torre Norte;TRNT11.SA
TRX Real Estate FII Closed Fund;TRXF11.SA
Urca Prime Renda FII Closed Fund;URPR11.SA
Vectis Juros Real FI Imobiliario FII;VCJR11.SA
Valora Cri Indice de Preco FI Imobiliario - FII;VGIP11.SA
Valora RE III FI Imobiliario-FII;VGIR11.SA
Vinci Instrumentos Financeiros Fundo de Investimento Imobiliario Closed Fund;VIFI11.SA
Vinci Logistica Fundo de Investimento Imobiliario;VILG11.SA
Vinci Offices Fdo Inv Imob - Fii Vinc Cor;VINO11.SA
Vinci Shopping Centers FI Imobiliario;VISC11.SA
FI Imobiliario - FII Vila Olimpia Corporate;VLOL11.SA
Votorantim Securities Master FII-FII;VOTS11.SA
Fator Verita Fundo Investimento Imobiliario - FII;VRTA11.SA
FI Imobiliario Votorantim Shopping;VSHO11.SA
FI Imobiliario Votorantim Logistica;VTLT11.SA
Fundo de Investimento Imobiliario V2 Properties Closed Fund;VVPR11.SA
Shopping West Plaza FI Imobiliario;WPLZ11.SA
FI Imobiliario - Ourinvest Fundo de Fundos;WTSP11B.SA
XP Credito Imobiliario Fdo Inv Mob;XPCI11.SA
XP Corporate Macae FI Imobiliario;XPCM11.SA
XP Hoteis - Fdo Inv Imob - FII;XPHT11.SA
XP Industrial Fundo de Investimento Imobiliario;XPIN11.SA
XP Log Fundo de Investimento Imobiliario-FII;XPLG11.SA
XP Malls Fundo de Investimento Imobiliario;XPML11.SA
XP Properties FII - FII;XPPR11.SA
Xp Selection Fundo de Fundos Inv Imob Fii;XPSF11.SA
TRX Edificios Corporativos FII;XTED11.SA
IND FDO IMOB;IFIX.SA
