Cotacao;Ticker
Multiplan Empreendiment. Imobiliarios SA;MULT3.SA
Natura & Co Holding SA;NTCO3.SA
Notre Dame Intermedica Participacoes SA;GNDI3.SA
Odontoprev SA;ODPV3.SA
Omega Geracao SA;OMGE3.SA
Ourinvest JPP FI Imobiliario;OUJP11.SA
Ouro Fino Saude Animal Participacoes SA;OFSA3.SA
Paranapanema SA;PMAM3.SA
Parque Anhanguera FII;PQAG11.SA
Patria Edificios Corporativos FI Imobiliario-FII;PATC11.SA
Patria Logistica Fundo de Investimento Imobiliario;PATL11.SA
PBG SA;PTBL3.SA
Petro Rio SA;PRIO3.SA
Petrobras Distribuidora SA;BRDT3.SA
Petroleo Brasileiro SA Petrobras;PETR3.SA
Petroleo Brasileiro SA Petrobras Preference Shares;PETR4.SA
Pettenati SA Industria Textil Preference Shares;PTNT4.SA
Plural Recebiveis Imobiliarios FII;PLCR11.SA
Polo FII Recebiveis Imobiliarios I;PLRI11.SA
Polo FII Recebiveis Imobiliarios II;PORD11.SA
Porto Seguro SA;PSSA3.SA
Positivo Tecnologia SA;POSI3.SA
Profarma Distribuidora de Produts Frm SA;PFRM3.SA
Qualicorp Consultoria e Cra de Ses SA;QUAL3.SA
Quasar Agro - Fundo de Investimento Imobiliario;QAGR11.SA
Quata Monetai FOF - FII;QMFF11.SA
Raia Drogasil SA;RADL3.SA
Randon SA Implementos e Participacoes;RAPT3.SA
Randon SA Implementos e Participacoes Preference Shares;RAPT4.SA
RB Capital Desenvolvimento Residencial II FII;RBDS11.SA
RB Capital General Shopping Sulacap FII;RBGS11.SA
RB Capital Renda II FI Imobiliario;RBRD11.SA
Rbr Log Fundo de Investimento Imobiliario;RBRL11.SA
Renda de Escritors Fndo de Invto ImoFII;NEWU11.SA
Renova Energia SA;RNEW3.SA
Renova Energia SA Brazilian Units;RNEW11.SA
Renova Energia SA Preference Shares;RNEW4.SA
Restoque Comercio e Confecos de Roups SA;LLIS3.SA
Rio Bravo Credito Imobiliario II FII;RBVO11.SA
Rio Bravo Credito Imobiliario IV FI Imobiliario FII;RBIV11.SA
Rio Bravo IFIX Fundo de FII;RBFF11.SA
Rio Bravo Renda Educacional-FII;RBED11.SA
Rio Paranapanema Energia SA Preference Shares;GEPA4.SA
Riza Arctium Real Estate FII;ARCT11.SA
RNI Negocios Imobiliarios SA;RDNI3.SA
Rossi Residencial SA;RSID3.SA
Rumo SA;RAIL3.SA
Santander Papeis Imobiliarios CDI FII;SADI11.SA
Santander Renda de Alugueis FII;SARE11.SA
Santos Brasil Participacoes SA;STBP3.SA
Sao Carlos Empreendimentos e Part. SA;SCAR3.SA
Sao Martinho SA;SMTO3.SA
SCP Fundo Investimento Imobiliario;SCPF11.SA
Ser Educacional SA;SEER3.SA
Shopping West Plaza FI Imobiliario;WPLZ11.SA
SLC Agricola S.A.;SLCE3.SA
Smiles Fidelidade SA;SMLS3.SA
SP Downtown Fundo Investimento Imobiliario - FII;SPTW11.SA
SP Downtown Fundo Investimento Imobiliario - FII;SPTW11.SA
Springs Global Participacoes SA;SGPS3.SA
Steel Do Brasil Part;ADHM3.SA
Sul America SA Brazilian Units;SULA11.SA
Suzano SA;SUZB3.SA
T4f Entretenimento SA;SHOW3.SA
Technos SA;TECN3.SA
Tecnisa SA;TCSA3.SA
Tegma Gestao Logistica SA;TGMA3.SA
Tellus Properties Fundo de Investimento Imobiliario Closed Fund;TEPP11.SA
Terra Santa Agro SA;TESA3.SA
Tim SA;TIMS3.SA
Tordesilhas EI Fundo de Investimento Imobiliario Closed Fund;TORD11.SA
Totvs SA;TOTS3.SA
Transmissora Alianca Energia Eletrica SA Brazilian Units;TAEE11.SA
Trisul SA;TRIS3.SA
TRX Edificios Corporativos FII;XTED11.SA
TRX Real Estate FII Closed Fund;TRXF11.SA
Tupy SA;TUPY3.SA
Ultrapar Participacoes SA;UGPA3.SA
UNICASA Industria de Moveis S/A;UCAS3.SA
Unipar Participacoes B Pref Shs;UNIP6.SA
Urca Prime Renda FII Closed Fund;URPR11.SA
Usinas Siderurgicas de Minas Gerais A Pref Shs;USIM5.SA
Usinas Siderurgicas de Mins Grs SA USMNS;USIM3.SA
Vale SA;VALE3.SA
Valid Solucoes SA;VLID3.SA
Valora Cri Indice de Preco FI Imobiliario - FII;VGIP11.SA
Valora RE III FI Imobiliario-FII;VGIR11.SA
Vbi Reits Fof - Fundo de Investimento Imobiliario;RVBI11.SA
Vectis Juros Real FI Imobiliario FII;VCJR11.SA
Via Varejo SA;VVAR3.SA
Vinci Instrumentos Financeiros Fundo de Investimento Imobiliario Closed Fund;VIFI11.SA
Vinci Logistica Fundo de Investimento Imobiliario;VILG11.SA
Vinci Offices Fdo Inv Imob - Fii Vinc Cor;VINO11.SA
Vinci Shopping Centers FI Imobiliario;VISC11.SA
Votorantim Securities Master FII-FII;VOTS11.SA
Vulcabras Azaleia SA;VULC3.SA
Weg SA;WEGE3.SA
Wiz Solucoes e Corretagem de Seguros SA;WIZS3.SA
XP Corporate Macae FI Imobiliario;XPCM11.SA
XP Credito Imobiliario Fdo Inv Mob;XPCI11.SA
XP Hoteis - Fdo Inv Imob - FII;XPHT11.SA
XP Industrial Fundo de Investimento Imobiliario;XPIN11.SA
XP Log Fundo de Investimento Imobiliario-FII;XPLG11.SA
XP Malls Fundo de Investimento Imobiliario;XPML11.SA
XP Properties FII - FII;XPPR11.SA
Xp Selection Fundo de Fundos Inv Imob Fii;XPSF11.SA
#N/D;VIVT4.SA
